epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
57,19217.7,0.13505,0.46574,0.90906,0.91774,0.93953,0.98853,0.98684,0.10433,0.34345,0.41399,0.0005514,0.0005514,0.0005514
58,19536.7,0.13491,0.4793,0.90181,0.98985,0.99015,0.99468,0.99323,0.09703,0.19949,0.40964,0.000538925,0.000538925,0.000538925
59,19914.4,0.13407,0.4813,0.90709,0.97512,0.99107,0.99329,0.99267,0.09599,0.18882,0.40727,0.00052645,0.00052645,0.00052645
60,20289.3,0.1318,0.44925,0.90426,0.98155,0.98771,0.99423,0.99314,0.11071,0.18432,0.41676,0.000513975,0.000513975,0.000513975
61,20617.1,0.13676,0.476,0.90228,0.98611,0.98871,0.99444,0.99307,0.10675,0.15384,0.41364,0.0005015,0.0005015,0.0005015
62,20929.1,0.13066,0.44922,0.9043,0.98743,0.98654,0.99468,0.99455,0.08953,0.20183,0.39976,0.000489025,0.000489025,0.000489025
63,21238.3,0.13396,0.46037,0.90288,0.99228,0.99133,0.99476,0.99473,0.11763,0.19877,0.41013,0.00047655,0.00047655,0.00047655
64,21555.9,0.12789,0.46819,0.90155,0.99363,0.99164,0.99487,0.99483,0.08377,0.13496,0.40032,0.000464075,0.000464075,0.000464075
65,21881.4,0.12412,0.44336,0.90443,0.99564,0.99303,0.99492,0.99482,0.09928,0.14314,0.40504,0.0004516,0.0004516,0.0004516
66,22203.9,0.12615,0.44731,0.9017,0.99121,0.99404,0.99465,0.99449,0.0942,0.1557,0.40164,0.000439125,0.000439125,0.000439125
67,22522.3,0.11943,0.43341,0.89869,0.98773,0.98558,0.99484,0.9945,0.10121,0.17899,0.40631,0.00042665,0.00042665,0.00042665
68,22840.5,0.12228,0.42615,0.90174,0.99337,0.99373,0.99489,0.99482,0.09449,0.14864,0.40571,0.000414175,0.000414175,0.000414175
69,23159.3,0.11998,0.41823,0.90074,0.9842,0.98659,0.99483,0.99478,0.09814,0.19143,0.4034,0.0004017,0.0004017,0.0004017
70,23480.1,0.11199,0.42044,0.90312,0.99533,0.99128,0.99488,0.99462,0.10465,0.14105,0.40753,0.000389225,0.000389225,0.000389225
71,23814.4,0.11688,0.42223,0.90053,0.99346,0.99025,0.99486,0.99477,0.09354,0.16513,0.40521,0.00037675,0.00037675,0.00037675
72,24122.2,0.11813,0.42745,0.89923,0.98963,0.98958,0.99459,0.9943,0.09839,0.21209,0.40627,0.000364275,0.000364275,0.000364275
73,24455.3,0.11594,0.41274,0.90176,0.99474,0.99247,0.99494,0.99482,0.09149,0.20108,0.40152,0.0003518,0.0003518,0.0003518
74,24827.1,0.11302,0.41038,0.89629,0.99055,0.9896,0.99467,0.99445,0.09891,0.19576,0.40369,0.000339325,0.000339325,0.000339325
75,25205.2,0.11186,0.41152,0.89804,0.98899,0.99468,0.99468,0.99447,0.06499,0.14292,0.3903,0.00032685,0.00032685,0.00032685
76,25590.9,0.10992,0.39924,0.89728,0.99276,0.99462,0.99484,0.9947,0.08657,0.16663,0.39759,0.000314375,0.000314375,0.000314375
77,25931.2,0.11404,0.40238,0.89758,0.98914,0.98658,0.99455,0.99393,0.08152,0.19042,0.40118,0.0003019,0.0003019,0.0003019
78,26252.3,0.10687,0.39222,0.8978,0.99415,0.99669,0.99491,0.99475,0.07373,0.15312,0.39898,0.000289425,0.000289425,0.000289425
79,26559.7,0.1053,0.39233,0.89733,0.99691,0.99522,0.99495,0.9949,0.07496,0.148,0.39552,0.00027695,0.00027695,0.00027695
80,26869.6,0.10918,0.40113,0.90052,0.99246,0.99418,0.99481,0.9946,0.0839,0.13522,0.39992,0.000264475,0.000264475,0.000264475
81,27179.5,0.10883,0.38164,0.89446,0.99476,0.99648,0.99492,0.99483,0.07012,0.15305,0.39374,0.000252,0.000252,0.000252
82,27491.7,0.10946,0.40144,0.90044,0.99021,0.99591,0.99488,0.99466,0.08437,0.13609,0.39814,0.000239525,0.000239525,0.000239525
83,27796.6,0.10026,0.37906,0.89145,0.99538,0.99676,0.99489,0.99473,0.078,0.13002,0.39815,0.00022705,0.00022705,0.00022705
84,28106.3,0.1077,0.3861,0.89663,0.99576,0.99573,0.99487,0.99475,0.05851,0.13048,0.38785,0.000214575,0.000214575,0.000214575
85,28411.5,0.10294,0.37952,0.89287,0.99641,0.99807,0.99496,0.99491,0.0708,0.0993,0.39251,0.0002021,0.0002021,0.0002021
86,28718.2,0.09997,0.36935,0.8956,0.99538,0.99364,0.9949,0.99478,0.07187,0.14442,0.39222,0.000189625,0.000189625,0.000189625
87,29029,0.10269,0.3749,0.89655,0.99591,0.99684,0.99495,0.99491,0.06128,0.1383,0.38914,0.00017715,0.00017715,0.00017715
88,29339.4,0.09884,0.36952,0.89421,0.99695,0.99778,0.99497,0.99493,0.06661,0.12964,0.39153,0.000164675,0.000164675,0.000164675
